District,Year,Offence Group,Total Number of Offences
Metropolitan Region,17,Burglary (Non-Dwelling),4992.0
Metropolitan Region,17,Cause Bushfire,83.0
Metropolitan Region,17,Cause Damage by Fire,516.0
Metropolitan Region,17,Common Assault (Family),10025.0
Metropolitan Region,17,Common Assault (Non-Family),5393.0
Metropolitan Region,17,Criminal Damage,4386.0
Metropolitan Region,17,Cultivate or Manufacture Drugs,511.0
Metropolitan Region,17,Damage,17447.0
Metropolitan Region,17,Deprivation of Liberty,182.0
Metropolitan Region,17,Driving Causing Death,22.0
Metropolitan Region,17,Drug Dealing,1936.0
Metropolitan Region,17,Drug Possession,11946.0
Metropolitan Region,17,Forgery,271.0
Metropolitan Region,17,Fraud (Credit Card),11629.0
Metropolitan Region,17,Fraud (Not Elsewhere Classified),7083.0
Metropolitan Region,17,Graffiti,1379.0
Metropolitan Region,17,Kidnapping / Child Stealing,22.0
Metropolitan Region,17,Manslaughter,6.0
Metropolitan Region,17,Murder,18.0
Metropolitan Region,17,Non-Assaultive Sexual Offences,873.0
Metropolitan Region,17,Other Drug Offences,187.0
Metropolitan Region,17,Other Fire Related Offences,39.0
Metropolitan Region,17,Possess Stolen Property,3586.0
Metropolitan Region,17,Possess Weapon to Cause Fear (Family),400.0
Metropolitan Region,17,Possess Weapon to Cause Fear (Non-Family),1373.0
Metropolitan Region,17,Possession of Drug Paraphernalia,7710.0
Metropolitan Region,17,Receiving Stolen Property,353.0
Metropolitan Region,17,Regulated Weapons Offences,3369.0
Metropolitan Region,17,Robbery (Business),137.0
Metropolitan Region,17,Robbery (Non-Business),947.0
Metropolitan Region,17,Serious Assault (Family),1705.0
Metropolitan Region,17,Serious Assault (Non-Family),2892.0
Metropolitan Region,17,Sexual Assault,3366.0
Metropolitan Region,17,Stealing (Not Elsewhere Classified),30468.0
Metropolitan Region,17,Stealing From Dwelling,6632.0
Metropolitan Region,17,Stealing From Motor Vehicle (Contents or Parts),12900.0
Metropolitan Region,17,Stealing From Other Premises or Place,11584.0
Metropolitan Region,17,Stealing From Retail Premises (Shoplift),6559.0
Metropolitan Region,17,Stealing as a Servant,172.0
Metropolitan Region,17,Stealing of Motor Vehicle,5663.0
Metropolitan Region,17,Threatening Behaviour (Family),1261.0
Metropolitan Region,17,Threatening Behaviour (Non-Family),1234.0
Metropolitan Region,18,Assault Police Officer,629.0
Metropolitan Region,18,Attempted / Conspiracy to Murder,11.0
Metropolitan Region,18,Breach of Family Violence Restraint Order,5579.0
Metropolitan Region,18,Breach of Police Order,1291.0
Metropolitan Region,18,Breach of Violence Restraint Order,589.0
Metropolitan Region,18,Burglary (Dwelling),18432.0
Metropolitan Region,18,Burglary (Non-Dwelling),5286.0
Metropolitan Region,18,Cause Bushfire,124.0
Metropolitan Region,18,Cause Damage by Fire,429.0
Metropolitan Region,18,Common Assault (Family),9474.0
Metropolitan Region,18,Common Assault (Non-Family),5104.0
Metropolitan Region,18,Criminal Damage,3922.0
Metropolitan Region,18,Cultivate or Manufacture Drugs,555.0
Metropolitan Region,18,Damage,15599.0
Metropolitan Region,18,Deprivation of Liberty,227.0
Metropolitan Region,18,Driving Causing Death,14.0
Metropolitan Region,18,Drug Dealing,1688.0
Metropolitan Region,18,Drug Possession,11877.0
Metropolitan Region,18,Forgery,155.0
Metropolitan Region,18,Fraud (Credit Card),26439.0
Metropolitan Region,18,Fraud (Not Elsewhere Classified),2897.0
Metropolitan Region,18,Graffiti,1315.0
Metropolitan Region,18,Kidnapping / Child Stealing,7.0
Metropolitan Region,18,Manslaughter,7.0
Metropolitan Region,18,Murder,24.0
Metropolitan Region,18,Non-Assaultive Sexual Offences,925.0
Metropolitan Region,18,Other Drug Offences,286.0
Metropolitan Region,18,Other Fire Related Offences,30.0
Metropolitan Region,18,Possess Stolen Property,3626.0
Metropolitan Region,18,Possess Weapon to Cause Fear (Family),397.0
Metropolitan Region,18,Possess Weapon to Cause Fear (Non-Family),1361.0
Metropolitan Region,18,Possession of Drug Paraphernalia,7869.0
Metropolitan Region,18,Receiving Stolen Property,332.0
Metropolitan Region,18,Regulated Weapons Offences,3294.0
Metropolitan Region,18,Robbery (Business),125.0
Metropolitan Region,18,Robbery (Non-Business),1033.0
Metropolitan Region,18,Serious Assault (Family),1770.0
Metropolitan Region,18,Serious Assault (Non-Family),2900.0
Metropolitan Region,18,Sexual Assault,3575.0
Metropolitan Region,18,Stealing (Not Elsewhere Classified),0.0
Metropolitan Region,18,Stealing From Dwelling,11878.0
Metropolitan Region,18,Stealing From Motor Vehicle (Contents or Parts),26470.0
Metropolitan Region,18,Stealing From Other Premises or Place,21480.0
Metropolitan Region,18,Stealing From Retail Premises (Shoplift),14330.0
Metropolitan Region,18,Stealing as a Servant,198.0
Metropolitan Region,18,Stealing of Motor Vehicle,5320.0
Metropolitan Region,18,Threatening Behaviour (Family),1272.0
Metropolitan Region,18,Threatening Behaviour (Non-Family),1182.0
Metropolitan Region,19,Assault Police Officer,605.0
Metropolitan Region,19,Attempted / Conspiracy to Murder,7.0
Metropolitan Region,19,Breach of Family Violence Restraint Order,5908.0
Metropolitan Region,19,Breach of Police Order,1290.0
Metropolitan Region,19,Breach of Violence Restraint Order,580.0
Metropolitan Region,19,Burglary (Dwelling),18209.0
Metropolitan Region,19,Burglary (Non-Dwelling),5286.0
Metropolitan Region,19,Cause Bushfire,85.0
Metropolitan Region,19,Cause Damage by Fire,505.0
Metropolitan Region,19,Common Assault (Family),9904.0
Metropolitan Region,19,Common Assault (Non-Family),5215.0
Metropolitan Region,19,Criminal Damage,3809.0
Metropolitan Region,19,Cultivate or Manufacture Drugs,548.0
Metropolitan Region,19,Damage,15682.0
Metropolitan Region,19,Deprivation of Liberty,204.0
Metropolitan Region,19,Driving Causing Death,22.0
Metropolitan Region,19,Drug Dealing,1654.0
Metropolitan Region,19,Drug Possession,11192.0
Metropolitan Region,19,Forgery,226.0
Metropolitan Region,19,Fraud (Credit Card),23908.0
Metropolitan Region,19,Fraud (Not Elsewhere Classified),3876.0
Metropolitan Region,19,Graffiti,1354.0
Metropolitan Region,19,Kidnapping / Child Stealing,19.0
Metropolitan Region,19,Manslaughter,4.0
Metropolitan Region,19,Murder,18.0
Metropolitan Region,19,Non-Assaultive Sexual Offences,1065.0
Metropolitan Region,19,Other Drug Offences,577.0
Metropolitan Region,19,Other Fire Related Offences,26.0
Metropolitan Region,19,Possess Stolen Property,3325.0
Metropolitan Region,19,Possess Weapon to Cause Fear (Family),373.0
Metropolitan Region,19,Possess Weapon to Cause Fear (Non-Family),1326.0
Metropolitan Region,19,Possession of Drug Paraphernalia,6790.0
Metropolitan Region,19,Receiving Stolen Property,263.0
Metropolitan Region,19,Regulated Weapons Offences,3026.0
Metropolitan Region,19,Robbery (Business),140.0
Metropolitan Region,19,Robbery (Non-Business),1195.0
Metropolitan Region,19,Serious Assault (Family),2009.0
Metropolitan Region,19,Serious Assault (Non-Family),2921.0
Metropolitan Region,19,Sexual Assault,3186.0
Metropolitan Region,19,Stealing (Not Elsewhere Classified),0.0
Metropolitan Region,19,Stealing From Dwelling,11968.0
Metropolitan Region,19,Stealing From Motor Vehicle (Contents or Parts),24890.0
Metropolitan Region,19,Stealing From Other Premises or Place,20975.0
Metropolitan Region,19,Stealing From Retail Premises (Shoplift),18245.0
Metropolitan Region,19,Stealing as a Servant,177.0
Metropolitan Region,19,Stealing of Motor Vehicle,5567.0
Metropolitan Region,19,Threatening Behaviour (Family),1334.0
Metropolitan Region,19,Threatening Behaviour (Non-Family),1103.0
Metropolitan Region,20,Assault Police Officer,143.0
Metropolitan Region,20,Attempted / Conspiracy to Murder,4.0
Metropolitan Region,20,Breach of Family Violence Restraint Order,1639.0
Metropolitan Region,20,Breach of Police Order,402.0
Metropolitan Region,20,Breach of Violence Restraint Order,142.0
Metropolitan Region,20,Burglary (Dwelling),4504.0
Metropolitan Region,20,Burglary (Non-Dwelling),1352.0
Metropolitan Region,20,Cause Bushfire,128.0
Metropolitan Region,20,Cause Damage by Fire,110.0
Metropolitan Region,20,Common Assault (Family),3020.0
Metropolitan Region,20,Common Assault (Non-Family),1347.0
Metropolitan Region,20,Criminal Damage,1034.0
Metropolitan Region,20,Cultivate or Manufacture Drugs,148.0
Metropolitan Region,20,Damage,4076.0
Metropolitan Region,20,Deprivation of Liberty,54.0
Metropolitan Region,20,Driving Causing Death,7.0
Metropolitan Region,20,Drug Dealing,382.0
Metropolitan Region,20,Drug Possession,2462.0
Metropolitan Region,20,Forgery,24.0
Metropolitan Region,20,Fraud (Credit Card),6487.0
Metropolitan Region,20,Fraud (Not Elsewhere Classified),630.0
Metropolitan Region,20,Graffiti,363.0
Metropolitan Region,20,Kidnapping / Child Stealing,7.0
Metropolitan Region,20,Manslaughter,0.0
Metropolitan Region,20,Murder,3.0
Metropolitan Region,20,Non-Assaultive Sexual Offences,207.0
Metropolitan Region,20,Other Drug Offences,195.0
Metropolitan Region,20,Other Fire Related Offences,20.0
Metropolitan Region,20,Possess Stolen Property,719.0
Metropolitan Region,20,Possess Weapon to Cause Fear (Family),107.0
Metropolitan Region,20,Possess Weapon to Cause Fear (Non-Family),350.0
Metropolitan Region,20,Possession of Drug Paraphernalia,1588.0
Metropolitan Region,20,Receiving Stolen Property,40.0
Metropolitan Region,20,Regulated Weapons Offences,636.0
Metropolitan Region,20,Robbery (Business),45.0
Metropolitan Region,20,Robbery (Non-Business),311.0
Metropolitan Region,20,Serious Assault (Family),611.0
Metropolitan Region,20,Serious Assault (Non-Family),821.0
Metropolitan Region,20,Sexual Assault,678.0
Metropolitan Region,20,Stealing (Not Elsewhere Classified),0.0
Metropolitan Region,20,Stealing From Dwelling,3171.0
Metropolitan Region,20,Stealing From Motor Vehicle (Contents or Parts),6036.0
Metropolitan Region,20,Stealing From Other Premises or Place,5305.0
Metropolitan Region,20,Stealing From Retail Premises (Shoplift),4682.0
Metropolitan Region,20,Stealing as a Servant,26.0
Metropolitan Region,20,Stealing of Motor Vehicle,1411.0
Metropolitan Region,20,Threatening Behaviour (Family),439.0
Metropolitan Region,20,Threatening Behaviour (Non-Family),304.0
Mid West-Gascoyne District,10,Assault Police Officer,73.0
Mid West-Gascoyne District,10,Attempted / Conspiracy to Murder,0.0
Mid West-Gascoyne District,10,Breach of Family Violence Restraint Order,165.0
Mid West-Gascoyne District,10,Breach of Police Order,58.0
Mid West-Gascoyne District,10,Breach of Violence Restraint Order,78.0
Mid West-Gascoyne District,10,Burglary (Dwelling),789.0
Mid West-Gascoyne District,10,Burglary (Non-Dwelling),320.0
Mid West-Gascoyne District,10,Cause Bushfire,5.0
Mid West-Gascoyne District,10,Cause Damage by Fire,41.0
Mid West-Gascoyne District,10,Common Assault (Family),234.0
Mid West-Gascoyne District,10,Common Assault (Non-Family),366.0
Mid West-Gascoyne District,10,Criminal Damage,149.0
Mid West-Gascoyne District,10,Cultivate or Manufacture Drugs,50.0
Mid West-Gascoyne District,10,Damage,1497.0
Mid West-Gascoyne District,10,Deprivation of Liberty,6.0
Mid West-Gascoyne District,10,Driving Causing Death,0.0
Mid West-Gascoyne District,10,Drug Dealing,93.0
Mid West-Gascoyne District,10,Drug Possession,381.0
Mid West-Gascoyne District,10,Forgery,5.0
Mid West-Gascoyne District,10,Fraud (Credit Card),0.0
Mid West-Gascoyne District,10,Fraud (Not Elsewhere Classified),409.0
Mid West-Gascoyne District,10,Graffiti,102.0
Mid West-Gascoyne District,10,Kidnapping / Child Stealing,1.0
Mid West-Gascoyne District,10,Manslaughter,0.0
Mid West-Gascoyne District,10,Murder,1.0
Mid West-Gascoyne District,10,Non-Assaultive Sexual Offences,68.0
Mid West-Gascoyne District,10,Other Drug Offences,12.0
Mid West-Gascoyne District,10,Other Fire Related Offences,0.0
Mid West-Gascoyne District,10,Possess Stolen Property,77.0
Mid West-Gascoyne District,10,Possess Weapon to Cause Fear (Family),30.0
Mid West-Gascoyne District,10,Possess Weapon to Cause Fear (Non-Family),54.0
Mid West-Gascoyne District,10,Possession of Drug Paraphernalia,274.0
Mid West-Gascoyne District,10,Receiving Stolen Property,45.0
Mid West-Gascoyne District,10,Regulated Weapons Offences,92.0
Mid West-Gascoyne District,10,Robbery (Business),5.0
Mid West-Gascoyne District,10,Robbery (Non-Business),25.0
Mid West-Gascoyne District,10,Serious Assault (Family),136.0
Mid West-Gascoyne District,10,Serious Assault (Non-Family),167.0
Mid West-Gascoyne District,10,Sexual Assault,112.0
Mid West-Gascoyne District,10,Stealing (Not Elsewhere Classified),2052.0
Mid West-Gascoyne District,10,Stealing From Dwelling,0.0
Mid West-Gascoyne District,10,Stealing From Motor Vehicle (Contents or Parts),0.0
Mid West-Gascoyne District,10,Stealing From Other Premises or Place,0.0
Mid West-Gascoyne District,10,Stealing From Retail Premises (Shoplift),0.0
Mid West-Gascoyne District,10,Stealing as a Servant,12.0
Mid West-Gascoyne District,10,Stealing of Motor Vehicle,241.0
Mid West-Gascoyne District,10,Threatening Behaviour (Family),22.0
Mid West-Gascoyne District,10,Threatening Behaviour (Non-Family),80.0
Mid West-Gascoyne District,11,Assault Police Officer,75.0
Mid West-Gascoyne District,11,Attempted / Conspiracy to Murder,0.0
Mid West-Gascoyne District,11,Breach of Family Violence Restraint Order,134.0
Mid West-Gascoyne District,11,Breach of Police Order,81.0
Mid West-Gascoyne District,11,Breach of Violence Restraint Order,89.0
Mid West-Gascoyne District,11,Burglary (Dwelling),906.0
Mid West-Gascoyne District,11,Burglary (Non-Dwelling),314.0
Mid West-Gascoyne District,11,Cause Bushfire,5.0
Mid West-Gascoyne District,11,Cause Damage by Fire,35.0
Mid West-Gascoyne District,11,Common Assault (Family),219.0
Mid West-Gascoyne District,11,Common Assault (Non-Family),310.0
Mid West-Gascoyne District,11,Criminal Damage,169.0
Mid West-Gascoyne District,11,Cultivate or Manufacture Drugs,42.0
Mid West-Gascoyne District,11,Damage,1425.0
Mid West-Gascoyne District,11,Deprivation of Liberty,8.0
Mid West-Gascoyne District,11,Driving Causing Death,2.0
Mid West-Gascoyne District,11,Drug Dealing,148.0
Mid West-Gascoyne District,11,Drug Possession,396.0
Mid West-Gascoyne District,11,Forgery,3.0
Mid West-Gascoyne District,11,Fraud (Credit Card),0.0
Mid West-Gascoyne District,11,Fraud (Not Elsewhere Classified),58.0
Mid West-Gascoyne District,11,Graffiti,169.0
Mid West-Gascoyne District,11,Kidnapping / Child Stealing,1.0
Mid West-Gascoyne District,11,Manslaughter,1.0
Mid West-Gascoyne District,11,Murder,1.0
Mid West-Gascoyne District,11,Non-Assaultive Sexual Offences,20.0
Mid West-Gascoyne District,11,Other Drug Offences,8.0
Mid West-Gascoyne District,11,Other Fire Related Offences,0.0
Mid West-Gascoyne District,11,Possess Stolen Property,35.0
Mid West-Gascoyne District,11,Possess Weapon to Cause Fear (Family),19.0
Mid West-Gascoyne District,11,Possess Weapon to Cause Fear (Non-Family),50.0
Mid West-Gascoyne District,11,Possession of Drug Paraphernalia,228.0
Mid West-Gascoyne District,11,Receiving Stolen Property,24.0
Mid West-Gascoyne District,11,Regulated Weapons Offences,101.0
Mid West-Gascoyne District,11,Robbery (Business),1.0
Mid West-Gascoyne District,11,Robbery (Non-Business),21.0
Mid West-Gascoyne District,11,Serious Assault (Family),147.0
Mid West-Gascoyne District,11,Serious Assault (Non-Family),190.0
Mid West-Gascoyne District,11,Sexual Assault,144.0
Mid West-Gascoyne District,11,Stealing (Not Elsewhere Classified),2018.0
Mid West-Gascoyne District,11,Stealing From Dwelling,0.0
Mid West-Gascoyne District,11,Stealing From Motor Vehicle (Contents or Parts),0.0
Mid West-Gascoyne District,11,Stealing From Other Premises or Place,0.0
Mid West-Gascoyne District,11,Stealing From Retail Premises (Shoplift),0.0
Mid West-Gascoyne District,11,Stealing as a Servant,11.0
Mid West-Gascoyne District,11,Stealing of Motor Vehicle,206.0
Mid West-Gascoyne District,11,Threatening Behaviour (Family),23.0
Mid West-Gascoyne District,11,Threatening Behaviour (Non-Family),65.0
Mid West-Gascoyne District,12,Assault Police Officer,63.0
Mid West-Gascoyne District,12,Attempted / Conspiracy to Murder,0.0
Mid West-Gascoyne District,12,Breach of Family Violence Restraint Order,207.0
Mid West-Gascoyne District,12,Breach of Police Order,83.0
Mid West-Gascoyne District,12,Breach of Violence Restraint Order,73.0
Mid West-Gascoyne District,12,Burglary (Dwelling),846.0
Mid West-Gascoyne District,12,Burglary (Non-Dwelling),352.0
Mid West-Gascoyne District,12,Cause Bushfire,3.0
Mid West-Gascoyne District,12,Cause Damage by Fire,36.0
Mid West-Gascoyne District,12,Common Assault (Family),261.0
Mid West-Gascoyne District,12,Common Assault (Non-Family),284.0
Mid West-Gascoyne District,12,Criminal Damage,213.0
Mid West-Gascoyne District,12,Cultivate or Manufacture Drugs,44.0
Mid West-Gascoyne District,12,Damage,1435.0
Mid West-Gascoyne District,12,Deprivation of Liberty,5.0
Mid West-Gascoyne District,12,Driving Causing Death,3.0
Mid West-Gascoyne District,12,Drug Dealing,91.0
Mid West-Gascoyne District,12,Drug Possession,493.0
Mid West-Gascoyne District,12,Forgery,9.0
Mid West-Gascoyne District,12,Fraud (Credit Card),0.0
Mid West-Gascoyne District,12,Fraud (Not Elsewhere Classified),630.0
Mid West-Gascoyne District,12,Graffiti,129.0
Mid West-Gascoyne District,12,Kidnapping / Child Stealing,0.0
Mid West-Gascoyne District,12,Manslaughter,1.0
Mid West-Gascoyne District,12,Murder,2.0
Mid West-Gascoyne District,12,Non-Assaultive Sexual Offences,29.0
Mid West-Gascoyne District,12,Other Drug Offences,7.0
Mid West-Gascoyne District,12,Other Fire Related Offences,0.0
Mid West-Gascoyne District,12,Possess Stolen Property,47.0
Mid West-Gascoyne District,12,Possess Weapon to Cause Fear (Family),22.0
Mid West-Gascoyne District,12,Possess Weapon to Cause Fear (Non-Family),69.0
Mid West-Gascoyne District,12,Possession of Drug Paraphernalia,291.0
Mid West-Gascoyne District,12,Receiving Stolen Property,29.0
Mid West-Gascoyne District,12,Regulated Weapons Offences,147.0
Mid West-Gascoyne District,12,Robbery (Business),1.0
Mid West-Gascoyne District,12,Robbery (Non-Business),24.0
Mid West-Gascoyne District,12,Serious Assault (Family),172.0
Mid West-Gascoyne District,12,Serious Assault (Non-Family),157.0
Mid West-Gascoyne District,12,Sexual Assault,144.0
Mid West-Gascoyne District,12,Stealing (Not Elsewhere Classified),2016.0
Mid West-Gascoyne District,12,Stealing From Dwelling,0.0
Mid West-Gascoyne District,12,Stealing From Motor Vehicle (Contents or Parts),0.0
Mid West-Gascoyne District,12,Stealing From Other Premises or Place,0.0
Mid West-Gascoyne District,12,Stealing From Retail Premises (Shoplift),0.0
Mid West-Gascoyne District,12,Stealing as a Servant,16.0
Mid West-Gascoyne District,12,Stealing of Motor Vehicle,261.0
Mid West-Gascoyne District,12,Threatening Behaviour (Family),26.0
Mid West-Gascoyne District,12,Threatening Behaviour (Non-Family),45.0
Mid West-Gascoyne District,13,Assault Police Officer,70.0
Mid West-Gascoyne District,13,Attempted / Conspiracy to Murder,0.0
Mid West-Gascoyne District,13,Breach of Family Violence Restraint Order,168.0
Mid West-Gascoyne District,13,Breach of Police Order,125.0
Mid West-Gascoyne District,13,Breach of Violence Restraint Order,52.0
Mid West-Gascoyne District,13,Burglary (Dwelling),756.0
Mid West-Gascoyne District,13,Burglary (Non-Dwelling),323.0
Mid West-Gascoyne District,13,Cause Bushfire,6.0
Mid West-Gascoyne District,13,Cause Damage by Fire,24.0
Mid West-Gascoyne District,13,Common Assault (Family),673.0
Mid West-Gascoyne District,13,Common Assault (Non-Family),300.0
Mid West-Gascoyne District,13,Criminal Damage,270.0
Mid West-Gascoyne District,13,Cultivate or Manufacture Drugs,53.0
Mid West-Gascoyne District,13,Damage,1409.0
Mid West-Gascoyne District,13,Deprivation of Liberty,11.0
Mid West-Gascoyne District,13,Driving Causing Death,5.0
Mid West-Gascoyne District,13,Drug Dealing,81.0
Mid West-Gascoyne District,13,Drug Possession,516.0
Mid West-Gascoyne District,13,Forgery,15.0
Mid West-Gascoyne District,13,Fraud (Credit Card),0.0
Mid West-Gascoyne District,13,Fraud (Not Elsewhere Classified),833.0
Mid West-Gascoyne District,13,Graffiti,86.0
Mid West-Gascoyne District,13,Kidnapping / Child Stealing,0.0
Mid West-Gascoyne District,13,Manslaughter,0.0
Mid West-Gascoyne District,13,Murder,0.0
Mid West-Gascoyne District,13,Non-Assaultive Sexual Offences,33.0
Mid West-Gascoyne District,13,Other Drug Offences,6.0
Mid West-Gascoyne District,13,Other Fire Related Offences,0.0
Mid West-Gascoyne District,13,Possess Stolen Property,64.0
Mid West-Gascoyne District,13,Possess Weapon to Cause Fear (Family),32.0
Mid West-Gascoyne District,13,Possess Weapon to Cause Fear (Non-Family),66.0
Mid West-Gascoyne District,13,Possession of Drug Paraphernalia,323.0
Mid West-Gascoyne District,13,Receiving Stolen Property,29.0
Mid West-Gascoyne District,13,Regulated Weapons Offences,171.0
Mid West-Gascoyne District,13,Robbery (Business),2.0
Mid West-Gascoyne District,13,Robbery (Non-Business),29.0
Mid West-Gascoyne District,13,Serious Assault (Family),207.0
Mid West-Gascoyne District,13,Serious Assault (Non-Family),191.0
Mid West-Gascoyne District,13,Sexual Assault,161.0
Mid West-Gascoyne District,13,Stealing (Not Elsewhere Classified),2035.0
Mid West-Gascoyne District,13,Stealing From Dwelling,0.0
Mid West-Gascoyne District,13,Stealing From Motor Vehicle (Contents or Parts),0.0
Mid West-Gascoyne District,13,Stealing From Other Premises or Place,0.0
Mid West-Gascoyne District,13,Stealing From Retail Premises (Shoplift),0.0
Mid West-Gascoyne District,13,Stealing as a Servant,10.0
Mid West-Gascoyne District,13,Stealing of Motor Vehicle,268.0
Mid West-Gascoyne District,13,Threatening Behaviour (Family),138.0
Mid West-Gascoyne District,13,Threatening Behaviour (Non-Family),75.0
Mid West-Gascoyne District,14,Assault Police Officer,47.0
Mid West-Gascoyne District,14,Attempted / Conspiracy to Murder,1.0
Mid West-Gascoyne District,14,Breach of Family Violence Restraint Order,222.0
Mid West-Gascoyne District,14,Breach of Police Order,151.0
Mid West-Gascoyne District,14,Breach of Violence Restraint Order,61.0
Mid West-Gascoyne District,14,Burglary (Dwelling),1314.0
Mid West-Gascoyne District,14,Burglary (Non-Dwelling),435.0
Mid West-Gascoyne District,14,Cause Bushfire,1.0
Mid West-Gascoyne District,14,Cause Damage by Fire,41.0
Mid West-Gascoyne District,14,Common Assault (Family),862.0
Mid West-Gascoyne District,14,Common Assault (Non-Family),297.0
Mid West-Gascoyne District,14,Criminal Damage,336.0
Mid West-Gascoyne District,14,Cultivate or Manufacture Drugs,56.0
Mid West-Gascoyne District,14,Damage,1455.0
Mid West-Gascoyne District,14,Deprivation of Liberty,5.0
Mid West-Gascoyne District,14,Driving Causing Death,1.0
Mid West-Gascoyne District,14,Drug Dealing,98.0
Mid West-Gascoyne District,14,Drug Possession,669.0
Mid West-Gascoyne District,14,Forgery,3.0
Mid West-Gascoyne District,14,Fraud (Credit Card),0.0
Mid West-Gascoyne District,14,Fraud (Not Elsewhere Classified),638.0
Mid West-Gascoyne District,14,Graffiti,87.0
Mid West-Gascoyne District,14,Kidnapping / Child Stealing,1.0
Mid West-Gascoyne District,14,Manslaughter,0.0
Mid West-Gascoyne District,14,Murder,4.0
Mid West-Gascoyne District,14,Non-Assaultive Sexual Offences,19.0
Mid West-Gascoyne District,14,Other Drug Offences,10.0
Mid West-Gascoyne District,14,Other Fire Related Offences,2.0
Mid West-Gascoyne District,14,Possess Stolen Property,79.0
Mid West-Gascoyne District,14,Possess Weapon to Cause Fear (Family),37.0
Mid West-Gascoyne District,14,Possess Weapon to Cause Fear (Non-Family),65.0
Mid West-Gascoyne District,14,Possession of Drug Paraphernalia,456.0
Mid West-Gascoyne District,14,Receiving Stolen Property,32.0
Mid West-Gascoyne District,14,Regulated Weapons Offences,198.0
Mid West-Gascoyne District,14,Robbery (Business),4.0
Mid West-Gascoyne District,14,Robbery (Non-Business),32.0
Mid West-Gascoyne District,14,Serious Assault (Family),188.0
Mid West-Gascoyne District,14,Serious Assault (Non-Family),183.0
Mid West-Gascoyne District,14,Sexual Assault,130.0
Mid West-Gascoyne District,14,Stealing (Not Elsewhere Classified),2512.0
Mid West-Gascoyne District,14,Stealing From Dwelling,0.0
Mid West-Gascoyne District,14,Stealing From Motor Vehicle (Contents or Parts),0.0
Mid West-Gascoyne District,14,Stealing From Other Premises or Place,0.0
Mid West-Gascoyne District,14,Stealing From Retail Premises (Shoplift),0.0
Mid West-Gascoyne District,14,Stealing as a Servant,11.0
Mid West-Gascoyne District,14,Stealing of Motor Vehicle,297.0
Mid West-Gascoyne District,14,Threatening Behaviour (Family),96.0
Mid West-Gascoyne District,14,Threatening Behaviour (Non-Family),57.0
Mid West-Gascoyne District,15,Assault Police Officer,48.0
Mid West-Gascoyne District,15,Attempted / Conspiracy to Murder,0.0
Mid West-Gascoyne District,15,Breach of Family Violence Restraint Order,288.0
Mid West-Gascoyne District,15,Breach of Police Order,158.0
Mid West-Gascoyne District,15,Breach of Violence Restraint Order,53.0
Mid West-Gascoyne District,15,Burglary (Dwelling),1536.0
Mid West-Gascoyne District,15,Burglary (Non-Dwelling),521.0
Mid West-Gascoyne District,15,Cause Bushfire,8.0
Mid West-Gascoyne District,15,Cause Damage by Fire,31.0
Mid West-Gascoyne District,15,Common Assault (Family),763.0
Mid West-Gascoyne District,15,Common Assault (Non-Family),310.0
Mid West-Gascoyne District,15,Criminal Damage,356.0
Mid West-Gascoyne District,15,Cultivate or Manufacture Drugs,51.0
Mid West-Gascoyne District,15,Damage,1573.0
Mid West-Gascoyne District,15,Deprivation of Liberty,6.0
Mid West-Gascoyne District,15,Driving Causing Death,6.0
Mid West-Gascoyne District,15,Drug Dealing,230.0
Mid West-Gascoyne District,15,Drug Possession,678.0
Mid West-Gascoyne District,15,Forgery,1.0
Mid West-Gascoyne District,15,Fraud (Credit Card),0.0
Mid West-Gascoyne District,15,Fraud (Not Elsewhere Classified),439.0
Mid West-Gascoyne District,15,Graffiti,60.0
Mid West-Gascoyne District,15,Kidnapping / Child Stealing,0.0
Mid West-Gascoyne District,15,Manslaughter,1.0
Mid West-Gascoyne District,15,Murder,2.0
Mid West-Gascoyne District,15,Non-Assaultive Sexual Offences,11.0
Mid West-Gascoyne District,15,Other Drug Offences,8.0
Mid West-Gascoyne District,15,Other Fire Related Offences,3.0
Mid West-Gascoyne District,15,Possess Stolen Property,86.0
Mid West-Gascoyne District,15,Possess Weapon to Cause Fear (Family),39.0
Mid West-Gascoyne District,15,Possess Weapon to Cause Fear (Non-Family),70.0
Mid West-Gascoyne District,15,Possession of Drug Paraphernalia,488.0
Mid West-Gascoyne District,15,Receiving Stolen Property,23.0
Mid West-Gascoyne District,15,Regulated Weapons Offences,184.0
Mid West-Gascoyne District,15,Robbery (Business),5.0
Mid West-Gascoyne District,15,Robbery (Non-Business),27.0
Mid West-Gascoyne District,15,Serious Assault (Family),207.0
Mid West-Gascoyne District,15,Serious Assault (Non-Family),179.0
Mid West-Gascoyne District,15,Sexual Assault,97.0
Mid West-Gascoyne District,15,Stealing (Not Elsewhere Classified),2855.0
Mid West-Gascoyne District,15,Stealing From Dwelling,0.0
Mid West-Gascoyne District,15,Stealing From Motor Vehicle (Contents or Parts),0.0
Mid West-Gascoyne District,15,Stealing From Other Premises or Place,0.0
Mid West-Gascoyne District,15,Stealing From Retail Premises (Shoplift),0.0
Mid West-Gascoyne District,15,Stealing as a Servant,7.0
Mid West-Gascoyne District,15,Stealing of Motor Vehicle,338.0
Mid West-Gascoyne District,15,Threatening Behaviour (Family),80.0
Mid West-Gascoyne District,15,Threatening Behaviour (Non-Family),35.0
Mid West-Gascoyne District,16,Assault Police Officer,39.0
